fecha,remesas_musd
2013-01-01,1588.9104
2013-02-01,1721.9287
2013-03-01,1935.7183
2013-04-01,2050.798
2013-05-01,2176.62
2013-06-01,2067.0878
2013-07-01,1945.4921
2013-08-01,2024.0101
2013-09-01,1890.4586
2013-10-01,1973.1587
2013-11-01,1796.2248
2013-12-01,1919.63
2014-01-01,1706.7546
2014-02-01,1788.209
2014-03-01,2182.6248
2014-04-01,2056.9042
2014-05-01,2234.0545
2014-06-01,2095.8672
2014-07-01,2051.0516
2014-08-01,2057.7782
2014-09-01,2015.0182
2014-10-01,2097.4737
2014-11-01,1824.4766
2014-12-01,2291.6336
2015-01-01,1671.4057
2015-02-01,1893.1655
2015-03-01,2305.4392
2015-04-01,2047.7711
2015-05-01,2247.4372
2015-06-01,2198.2765
2015-07-01,2288.9386
2015-08-01,2308.932
2015-09-01,2097.7903
2015-10-01,2131.7302
2015-11-01,1944.0834
2015-12-01,2241.5383
2016-01-01,1976.3992
2016-02-01,2123.221
2016-03-01,2235.7849
2016-04-01,2213.3934
2016-05-01,2532.8538
2016-06-01,2366.6498
2016-07-01,2306.0699
2016-08-01,2318.9361
2016-09-01,2441.427
2016-10-01,2273.9136
2016-11-01,2444.7874
2016-12-01,2397.7077
2017-01-01,2196.0865
2017-02-01,2191.0386
2017-03-01,2678.2118
2017-04-01,2449.3006
2017-05-01,2754.1658
2017-06-01,2609.611
2017-07-01,2663.0471
2017-08-01,2678.7156
2017-09-01,2550.7464
2017-10-01,2873.1654
2017-11-01,2473.8381
2017-12-01,2824.9873
2018-01-01,2308.8292
2018-02-01,2292.3587
2018-03-01,2730.9501
2018-04-01,2816.4145
2018-05-01,3232.3766
2018-06-01,3224.4911
2018-07-01,2930.1358
2018-08-01,2961.1494
2018-09-01,2796.1366
2018-10-01,3115.6072
2018-11-01,3005.4157
2018-12-01,3021.2516
2019-01-01,2527.5581
2019-02-01,2506.4369
2019-03-01,3038.1022
2019-04-01,3014.8781
2019-05-01,3387.2534
2019-06-01,3293.2442
2019-07-01,3371.3039
2019-08-01,3487.494
2019-09-01,3181.9307
2019-10-01,3238.0284
2019-11-01,3006.514
2019-12-01,3197.7419
2020-01-01,2676.6263
2020-02-01,2803.4988
2020-03-01,4147.1146
2020-04-01,2982.6531
2020-05-01,3541.8263
2020-06-01,3630.6225
2020-07-01,3629.1537
2020-08-01,3654.1707
2020-09-01,3673.8419
2020-10-01,3715.2525
2020-11-01,3491.9473
2020-12-01,3757.2255
2021-01-01,3392.8085
2021-02-01,3264.1015
2021-03-01,4275.0937
2021-04-01,4167.7596
2021-05-01,4677.3251
2021-06-01,4605.3268
2021-07-01,4616.2582
2021-08-01,4776.7196
2021-09-01,4436.0128
2021-10-01,4854.0866
2021-11-01,4689.3135
2021-12-01,4767.7923
2022-01-01,3935.0868
2022-02-01,3928.4852
2022-03-01,4712.0937
2022-04-01,4749.1098
2022-05-01,5173.7153
2022-06-01,5150.2223
2022-07-01,5342.837
2022-08-01,5160.1441
2022-09-01,5078.5862
2022-10-01,5404.6702
2022-11-01,4853.746
2022-12-01,5379.1316
2023-01-01,4434.7719
2023-02-01,4346.1517
2023-03-01,5189.392
2023-04-01,5006.8015
2023-05-01,5675.8614
2023-06-01,5584.4913
2023-07-01,5668.486
2023-08-01,5568.2516
2023-09-01,5616.5469
2023-10-01,5817.8255
2023-11-01,4913.0678
2023-12-01,5497.0246
2024-01-01,4573.2226
2024-02-01,4494.8384
2024-03-01,5014.5816
2024-04-01,5418.8526
2024-05-01,5618.1155
2024-06-01,6206.8793
2024-07-01,5592.7573
2024-08-01,6082.1121
2024-09-01,5358.4246
2024-10-01,5730.4832
2024-11-01,5433.158
2024-12-01,5222.9563
